file_path,label
C:\Users\dhruv\Desktop\archive\train\training_data (1).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (10).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (100).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1000).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1001).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1002).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1003).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1004).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1005).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1006).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1007).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1008).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1009).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (101).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1010).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1011).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1012).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1013).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1014).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1015).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1016).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1017).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1018).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1019).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (102).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1020).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1021).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1022).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1023).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1024).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1025).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1026).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1027).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1028).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1029).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (103).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1030).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1031).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1032).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1033).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1034).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1035).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1036).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1037).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1038).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1039).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (104).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1040).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1041).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1042).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1043).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1044).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1045).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1046).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1047).jpg,train
C:\Users\dhruv\Desktop\archive\train\training_data (1048).jpg,train
